game_id,season,week_label,away_team,home_team,away_score,home_score
2023_039,2023,ScheduleAwayHomeNotesStatusLinksCarleton31Waterloo30Final*ConferenceBox ScoreWindsor7Laurier40Final*ConferenceBox ScoreMcMaster9Ottawa23TD Place / Place TDFinal*ConferenceVideoBox ScoreRecapQueen's24Guelph17Final*ConferenceBox ScoreToronto24Western66Final*ConferenceBox Score,Queen's,Guelph,24,17
2023_040,2023,ScheduleAwayHomeNotesStatusLinksCarleton31Waterloo30Final*ConferenceBox ScoreWindsor7Laurier40Final*ConferenceBox ScoreMcMaster9Ottawa23TD Place / Place TDFinal*ConferenceVideoBox ScoreRecapQueen's24Guelph17Final*ConferenceBox ScoreToronto24Western66Final*ConferenceBox Score,Toronto,Western,24,66
2023_041,2023,ScheduleAwayHomeNotesStatusLinksWaterloo26Toronto21Final*ConferenceBox ScoreGuelph27Carleton29Final*ConferenceBox ScoreYork0Windsor69Final*ConferenceBox ScoreOttawa8Queen's12Richardson Memorial StadiumFinal*ConferenceVideoBox ScoreRecapLaurier30Western33Final*ConferenceBox Score,Waterloo,Toronto,26,21
2023_042,2023,ScheduleAwayHomeNotesStatusLinksWaterloo26Toronto21Final*ConferenceBox ScoreGuelph27Carleton29Final*ConferenceBox ScoreYork0Windsor69Final*ConferenceBox ScoreOttawa8Queen's12Richardson Memorial StadiumFinal*ConferenceVideoBox ScoreRecapLaurier30Western33Final*ConferenceBox Score,Guelph,Carleton,27,29
2023_043,2023,ScheduleAwayHomeNotesStatusLinksWaterloo26Toronto21Final*ConferenceBox ScoreGuelph27Carleton29Final*ConferenceBox ScoreYork0Windsor69Final*ConferenceBox ScoreOttawa8Queen's12Richardson Memorial StadiumFinal*ConferenceVideoBox ScoreRecapLaurier30Western33Final*ConferenceBox Score,York,Windsor,0,69
2023_044,2023,ScheduleAwayHomeNotesStatusLinksWaterloo26Toronto21Final*ConferenceBox ScoreGuelph27Carleton29Final*ConferenceBox ScoreYork0Windsor69Final*ConferenceBox ScoreOttawa8Queen's12Richardson Memorial StadiumFinal*ConferenceVideoBox ScoreRecapLaurier30Western33Final*ConferenceBox Score,Ottawa,Queen's,8,12
2023_045,2023,ScheduleAwayHomeNotesStatusLinksWaterloo26Toronto21Final*ConferenceBox ScoreGuelph27Carleton29Final*ConferenceBox ScoreYork0Windsor69Final*ConferenceBox ScoreOttawa8Queen's12Richardson Memorial StadiumFinal*ConferenceVideoBox ScoreRecapLaurier30Western33Final*ConferenceBox Score,Laurier,Western,30,33
2022_001,2022,ScheduleAwayHomeNotesStatusLinksMcGill12Queen's19(Pre-Season)Final#Do not count in overall recordBox Score,McGill,Queen's,12,19
2022_002,2022,ScheduleAwayHomeNotesStatusLinksGuelph11Western34OUA #5Final*ConferenceBox ScoreWaterloo41York8OUA #3Final*ConferenceBox ScoreMcMaster18Carleton24OUA #4Final - Forfeit Away*ConferenceBox ScoreToronto25Queen's47OUA #1Final*ConferenceBox ScoreOttawa19Windsor16OUA #2Final*ConferenceBox Score,Guelph,Western,11,34
2022_003,2022,ScheduleAwayHomeNotesStatusLinksGuelph11Western34OUA #5Final*ConferenceBox ScoreWaterloo41York8OUA #3Final*ConferenceBox ScoreMcMaster18Carleton24OUA #4Final - Forfeit Away*ConferenceBox ScoreToronto25Queen's47OUA #1Final*ConferenceBox ScoreOttawa19Windsor16OUA #2Final*ConferenceBox Score,Waterloo,York,41,8
